stop_id,name
11521,Aberdeen
11543,Aberdeen
11913,Monocacy
11940,Martinsburg
11941,Duffields
11942,Harpers Ferry
11943,Brunswick
11944,Frederick
11945,Monocacy
11946,Point of Rocks
11947,Dickerson
11948,Barnesville
11949,Boyds
11950,Germantown
11951,Metropolitan Grove
11952,Gaithersburg
11953,Washington Grove
11954,Rockville
11955,Garrett Park
11956,Kensington
11957,Silver Spring
11958,Washington DC
11959,Silver Spring
11960,Kensington
11961,Garrett Park
11962,Rockville
11963,Washington Grove
11964,Gaithersburg
11965,Metropolitan Grove
11966,Germantown
11967,Boyds
11968,Barnesville
11969,Dickerson
11970,Point of Rocks
11971,Monocacy
11972,Frederick
11973,Brunswick
11974,Harpers Ferry
11975,Duffields
11976,Perryville
11977,Aberdeen
11978,Edgewood
11979,Martin State Airport
11980,Balto/Penn Station
11981,West Baltimore
11982,Halethorpe
11984,BWI Airport
11985,Odenton
11986,Bowie State
11987,Seabrook
11988,New Carrollton
11989,New Carrollton
11990,Seabrook
11991,Bowie State
11992,Odenton
11993,BWI Airport
11994,Halethorpe
11995,West Baltimore
12002,Balto/Penn Station
12003,Martin State Airport
12004,Edgewood
12005,Aberdeen
12006,Baltimore
12007,St. Denis
12008,Dorsey
12009,Jessup
12010,Savage
12011,Laurel
12012,Laurel
12013,Muirkirk
12014,Greenbelt
12015,College Park
12016,Riverdale
12017,Riverdale
12018,College Park
12019,Greenbelt
12020,Muirkirk
12021,Laurel
12023,Savage
12024,Jessup
12025,Dorsey
12026,St. Denis
12461,BWI Airport
12875,Savage
FRDRK_TRAN_CTR,Frederick
ABRDN,Aberdeen
